hash,short,date,author,subject,files_changed,insertions,deletions,top_paths,inferred_type,prefix,flags,scope,dominant_dir,has_issue_ref,declares_breaking,body_lines
0d4fc2023026149955300eae351790b5dc23b0ec,0d4fc20,2025-11-11 10:51:06 +1000,matthewdau85,"fix: use portable ledger test script",1,1,1,"packages/ledger/package.json",chore(deps),fix,"deps-looks-like-chore;subject-not-capitalized;fix-no-issue-ref;scope-mismatch(scope= vs dir=packages)",,packages,0,0,0
08af0c4ea9037c42aa5621d174cfc57319636812,08af0c4,2025-11-11 10:50:41 +1000,matthewdau85,"feat(payg): update resolver for stage 3 tables",1,189,30,"tools/ato_scraper/payg_resolver.py",feat,feat(payg),"subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope=payg vs dir=tools)",payg,tools,0,0,0
fd16820fc4e0af5fddcfa2a6cf83490005f7e599,fd16820,2025-11-11 10:27:41 +1000,Matthew Donovan,"feat(tooling): add PAYG scraper utilities and fixtures",7,388,0,"data/external/ato/payg/payg_tables_banded.csv;tools/__init__.py;tools/ato_scraper/__init__.py;tools/ato_scraper/convert_curve_to_bands.py;tools/check_spotcases.py;tools/fixtures/payg_spotchecks.csv",feat,feat(tooling),"subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope=tooling vs dir=tools)",tooling,tools,0,0,0
669b866a63eadc272e82194c467e312c813f9dce,669b866,2025-11-11 10:20:56 +1000,matthewdau85,"test: cover ML manifest verification",29,2223,4,"pnpm-lock.yaml;runbooks/ml-operations.md;services/api-gateway/src/app.ts;services/api-gateway/src/config.ts;services/api-gateway/src/lib/ml-client.ts;services/api-gateway/src/lib/ml-decisions.ts",feat+test,test,"docs-claimed-mismatch;deps-looks-like-chore;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope= vs dir=services);possible-breaking-missing-marker",,services,0,0,0
d25553684e757661acba56a99757cd6844a00f4d,d255536,2025-11-11 10:13:42 +1000,matthewdau85,"Implement secure connectors and ATO compliance workflows",25,2162,37,"domain/policy/designated-accounts.ts;runbooks/resilience/manual-fallbacks.md;services/api-gateway/src/lib/audit.ts;services/api-gateway/src/security/providers.js;services/api-gateway/test/designated.policy.spec.ts;services/connectors/package.json",feat+test,,"docs-claimed-mismatch;test-claimed-mismatch;deps-looks-like-chore;needs-body(>=150 LOC);possible-breaking-missing-marker",,services,0,0,0
0a7d1d161e0e4689298323bdd88621f5ee7eced0,0a7d1d1,2025-11-11 10:10:42 +1000,matthewdau85,"feat: add compliance event ingestion and ML scaffolding",17,1350,29,"artifacts/ml-core/.gitkeep;docs/dsp-osf/evidence-index.md;docs/ml/reports/.gitkeep;packages/ml-core/README.md;packages/ml-core/ml_core/__init__.py;packages/ml-core/ml_core/pipelines.py",feat(db),feat,"docs-claimed-mismatch;deps-looks-like-chore;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope= vs dir=services);possible-breaking-missing-marker",,services,0,0,0
7c255dca39a7899d0d3451015bd259c6abbcf605,7c255dc,2025-11-11 10:04:48 +1000,matthewdau85,"Document governance training, audits, patents, and vendor controls",5,123,0,"docs/compliance/team-training.md;docs/legal/vendor-governance-register.md;docs/patent/CHANGELOG.md;docs/patent/governance-resilience-ml.md;status/roadmap.md",docs,,"docs-claimed-mismatch",,docs,0,0,0
9a86c6af202360213835a952524625d785f0dde5,9a86c6a,2025-11-11 10:04:37 +1000,matthewdau85,"Document compliance attestation execution plan",2,120,0,"docs/compliance/evidence/README.md;docs/compliance/security-attestation-plan.md",docs,,"docs-claimed-mismatch",,docs,0,0,0
91a4447afcc253a68567fc1ec4c6d9285b4f38f7,91a4447,2025-11-11 10:04:16 +1000,matthewdau85,"Document DSP readiness and governance workflows",4,127,1,"SECURITY.md;docs/compliance/dsp-readiness.md;runbooks/data-governance.md;runbooks/operations/compliance-oversight.md",docs,,"docs-claimed-mismatch",,runbooks,0,0,0
97c1bccdd626de3914fc8039f9e3d645902e2c2c,97c1bcc,2025-11-11 09:40:52 +1000,matthewdau85,"feat: share jwt guard via auth package",16,521,493,"docs/architecture/auth-consolidation.md;packages/auth/package.json;packages/auth/src/index.ts;packages/auth/tests/authenticateRequest.test.ts;packages/auth/tsconfig.json;pnpm-lock.yaml",feat+test,feat,"docs-claimed-mismatch;test-claimed-mismatch;deps-looks-like-chore;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope= vs dir=services);possible-breaking-missing-marker",,services,0,0,0
587933f31eefcb14499bcbb357e3bc734b6f67d7,587933f,2025-11-11 09:40:40 +1000,matthewdau85,"Add prototype environment handling for admin responses",12,457,99,"services/api-gateway/src/lib/prototype-env.js;services/api-gateway/src/lib/prototype-env.ts;services/api-gateway/src/routes/admin.data.ts;services/api-gateway/src/routes/auth.ts;tests/auth/prototype-flag.test.ts;webapp/src/App.tsx",feat+test,,"test-claimed-mismatch;needs-body(>=150 LOC);possible-breaking-missing-marker",,webapp,0,0,0
ce6198ad25540f4b9b33ed6651b4c1d132240958,ce6198a,2025-11-11 09:30:53 +1000,matthewdau85,"Add prototype env feature flag for admin requests",5,40,1,"services/api-gateway/src/lib/auth.js;services/api-gateway/src/lib/auth.ts;services/api-gateway/src/types/fastify.d.ts;services/api-gateway/tsconfig.json;shared/types/fastify.d.ts",refactor,,"code-changes-look-like-refactor",,services,0,0,0
db94dbd2bbaa95dc52cdbcf7628c9ace8bd3d882,db94dbd,2025-11-11 09:30:27 +1000,matthewdau85,"docs: summarize auth guard coverage",1,57,0,"docs/auth-toggle-plan.md",docs,docs,"subject-not-capitalized;scope-mismatch(scope= vs dir=docs)",,docs,0,0,0
918d11473a837e9442624ec7bab662c0031ae4ac,918d114,2025-11-11 09:20:31 +1000,matthewdau85,"feat(webapp): add admin prototype router and feature flag",9,794,1,"webapp/src/App.tsx;webapp/src/admin-prototype/AdminPrototypeGuard.tsx;webapp/src/admin-prototype/AdminPrototypeLayout.tsx;webapp/src/admin-prototype/index.ts;webapp/src/admin-prototype/pages/OnboardingFlowPage.tsx;webapp/src/admin-prototype/pages/OverviewPage.tsx",feat,feat(webapp),"subject-not-capitalized;needs-body(>=150 LOC);possible-breaking-missing-marker",webapp,webapp,0,0,0
46ddc3b202bb6f5ba7101e5e4ca6bd4af3c9a6ce,46ddc3b,2025-11-11 09:07:03 +1000,matthewdau85,"docs: outline admin prototype activation plan",1,85,0,"docs/admin-prototype-activation-plan.md",docs,docs,"subject-not-capitalized;scope-mismatch(scope= vs dir=docs);possible-breaking-missing-marker",,docs,0,0,0
7e10cbb3b4069686edfeee03cab891b16e61f1f0,7e10cbb,2025-11-11 09:04:48 +1000,matthewdau85,"feat: add compliance ingest pipeline and ml tooling",21,1384,139,"artifacts/datasets/.gitkeep;docs/ml/reports/.gitkeep;package.json;packages/ml-core/README.md;packages/ml-core/ml_core/__init__.py;packages/ml-core/ml_core/feature_builders.py",feat(db),feat,"docs-claimed-mismatch;deps-looks-like-chore;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope= vs dir=services);possible-breaking-missing-marker",,services,0,0,0
403a426a088cd29768c73d9970ba564693f3def0,403a426,2025-11-11 09:04:32 +1000,matthewdau85,"feat: add ml governance service and risk workflows",28,2220,0,".github/workflows/ml-governance.yml;pnpm-lock.yaml;runbooks/ml-operations.md;services/api-gateway/src/app.ts;services/api-gateway/src/clients/mlServiceClient.ts;services/api-gateway/src/config.ts",feat(db),feat,"docs-claimed-mismatch;deps-looks-like-chore;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope= vs dir=services);possible-breaking-missing-marker",,services,0,0,0
a955b4753633ecfd1897ea7272f2b19fe496ff0c,a955b47,2025-11-11 08:57:54 +1000,matthewdau85,"Add connectors, ATO filing pipeline, and designated account models",21,1426,1,"db/migrations/20250210_add_designated_account_controls.sql;runbooks/resilience/manual-fallbacks.md;services/ato-client/package.json;services/ato-client/src/client.ts;services/ato-client/src/index.ts;services/ato-client/src/types.ts",feat+test,,"docs-claimed-mismatch;test-claimed-mismatch;deps-looks-like-chore;needs-body(>=150 LOC);possible-breaking-missing-marker",,services,0,0,0
df8bf8702f5d229b74cccca828c849c644bfe311,df8bf87,2025-11-11 08:50:05 +1000,matthewdau85,"Document patent governance commitments and compliance evidence",7,132,0,"docs/compliance/evidence/README.md;docs/compliance/evidence/architecture.md;docs/compliance/evidence/compliance-metrics.md;docs/compliance/evidence/sops.md;docs/patent/changelog.md;docs/patent/platform-patent-draft.md",docs,,"docs-claimed-mismatch",,docs,0,0,0
12b9a469b91f3e503539bdb7e3a10a1e6bad8899,12b9a46,2025-11-11 08:49:50 +1000,matthewdau85,"Add compliance governance runbooks and DSP checklist",4,88,1,"SECURITY.md;docs/compliance/dsp-readiness.md;runbooks/data-governance.md;runbooks/operations/compliance-oversight.md",docs,,"docs-claimed-mismatch",,runbooks,0,0,0
0a014f031f01f7aeaacbe99e20713fc30ef6e616,0a014f0,2025-11-11 02:16:08 +1000,matthewdau85,"Hardening auth flows, remittance safety nets, and ML guardrails",29,1563,11,".github/workflows/ml-guardrails.yml;SECURITY.md;artifacts/models/bias-report.json;artifacts/models/security-scan.json;config/ml/controls.json;infra/observability/grafana/dashboards.json",feat+test,,"docs-claimed-mismatch;test-claimed-mismatch;deps-looks-like-chore;needs-body(>=150 LOC);possible-breaking-missing-marker",,services,0,0,0
3e6d094c4c90fa4a6951cd722eed0d74b74b243c,3e6d094,2025-11-11 02:13:13 +1000,matthewdau85,"feat: add high-risk approvals, ml governance, and key rotation",14,1334,28,"domain/ml/reports.ts;services/api-gateway/src/app.ts;services/api-gateway/src/lib/audit.ts;services/api-gateway/src/observability/metrics.ts;services/api-gateway/src/routes/alerts.ts;services/api-gateway/src/routes/bas.ts",feat(db),feat,"subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope= vs dir=services);possible-breaking-missing-marker",,services,0,0,0
28d94f33d9b718fb6212fe60d36092a97ef56124,28d94f3,2025-11-11 02:12:49 +1000,matthewdau85,"feat: add integration connectors, remittance jobs, and audit tracking",19,1431,4,"db/migrations/20251101_integrations.sql;domain/policy/designated-accounts.ts;runbooks/integrations.md;services/api-gateway/src/lib/audit.ts;services/api-gateway/src/routes/bank-lines.ts;services/ato-client/src/client.ts",feat+test,feat,"docs-claimed-mismatch;test-claimed-mismatch;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope= vs dir=services);possible-breaking-missing-marker",,services,0,0,0
691eb489012b270a3f74904bf679e3c25ed0295e,691eb48,2025-11-11 02:11:07 +1000,matthewdau85,"Fix npm install in workspace packages",5,30,37,".npmrc;apps/phase1-demo/package.json;package.json;packages/ledger/package.json;pnpm-lock.yaml",chore,,"deps-looks-like-chore",,packages,0,0,0
d6200e960e2005bdc6eef4f6b87f9143dfc53994,d6200e9,2025-11-11 02:10:46 +1000,matthewdau85,"Add compliance event ingestion and governance",14,955,40,"runbooks/data-governance.md;services/api-gateway/src/app.ts;services/api-gateway/src/config.ts;services/api-gateway/src/lib/events.ts;services/api-gateway/src/providers.ts;services/api-gateway/src/routes/bank-lines.ts",feat(db),,"docs-claimed-mismatch;deps-looks-like-chore;needs-body(>=150 LOC);possible-breaking-missing-marker",,services,0,0,0
9d92fab3ccc1ea7ceb4d3fc8535b7caf7d9061eb,9d92fab,2025-11-11 02:10:08 +1000,matthewdau85,"docs: restore auth jwks env example",1,2,0,"README.md",docs,docs,"subject-not-capitalized;scope-mismatch(scope= vs dir=README.md)",,README.md,0,0,0
d278b8e01e8009ae3777810846ce3091a652c866,d278b8e,2025-11-11 02:10:02 +1000,matthewdau85,"Fix Prisma client instrumentation attachment",3,15,11,"services/api-gateway/src/app.ts;services/api-gateway/src/db.ts;services/api-gateway/src/observability/prisma-metrics.ts",refactor,,"code-changes-look-like-refactor",,services,0,0,0
d5772975ddfa14ff2dc7eb62a0100dc9b45435da,d577297,2025-11-11 02:09:57 +1000,matthewdau85,"Guard ML workflow when assets missing",1,13,0,".github/workflows/ml.yml",ci,,"",,github,0,0,0
10de99f1e638435c1403f7d51e27ddbe0ad55ee5,10de99f,2025-11-11 02:09:50 +1000,matthewdau85,"Fix threshold selection to use validation split",1,2,1,"apgms-ml/gstfree/train.py",refactor,,"code-changes-look-like-refactor",,apgms-ml,0,0,0
19adfb0d8abf0a2d7742caeb033a1109df9ec82e,19adfb0,2025-11-11 02:09:43 +1000,matthewdau85,"Use sync handlers for scoring endpoints",1,5,5,"apgms-ml/server/main.py",refactor,,"code-changes-look-like-refactor",,apgms-ml,0,0,0
d99cb790b7204886d4d812e0cc5337b56398b883,d99cb79,2025-11-11 02:09:35 +1000,matthewdau85,"Handle scalar metrics from classification report",1,6,1,"apgms_ml/paygw_var/train.py",refactor,,"code-changes-look-like-refactor",,apgms_ml,0,0,0
d518159067d589ffdd2e0a13ab375462d6787acd,d518159,2025-11-11 02:09:28 +1000,matthewdau85,"Fix model artifact hashing to avoid stale metadata digest",1,1,13,"apgms-ml/common/io.py",refactor,,"code-changes-look-like-refactor",,apgms-ml,0,0,0
2c23cdfd62fe81d83f19546cd724b1f813326d1b,2c23cdf,2025-11-11 02:09:22 +1000,matthewdau85,"Fix recon contract barrel extension",1,1,1,"shared/src/index.ts",refactor,,"code-changes-look-like-refactor",,shared,0,0,0
b7ab8ede6fa6bc667125984fd6e294fd9e73a969,b7ab8ed,2025-11-11 02:09:14 +1000,matthewdau85,"Ensure recon model sorter handles numeric versions",1,5,1,"services/recon/src/model.ts",refactor,,"code-changes-look-like-refactor",,services,0,0,0
7db317cb34d64e45d79168d964ba294278be29c1,7db317c,2025-11-11 02:09:05 +1000,matthewdau85,"Ensure one-hot encoder outputs dense matrix for gradient boosting",1,1,1,"ml/scripts/train_model.py",refactor,,"code-changes-look-like-refactor",,ml,0,0,0
ba72fdca40a6d36fa63887871d7d3cd485520ea3,ba72fdc,2025-11-11 02:08:57 +1000,matthewdau85,"Guard ledger analytics logging failures",1,29,22,"domain/ledger/journal-service.ts",refactor,,"code-changes-look-like-refactor",,domain,0,0,0
5a14ed6034f8929495a5d328e72e6b06d3ee81a4,5a14ed6,2025-11-11 02:08:51 +1000,matthewdau85,"Fix step-up middleware user id handling",1,5,3,"services/api-gateway/src/security/step-up.ts",refactor,,"code-changes-look-like-refactor",,services,0,0,0
e22b759dfb22bc7f8411147803715a12c46c8fd8,e22b759,2025-11-11 02:08:43 +1000,matthewdau85,"Fix artifact upload condition in ML retrain workflow",1,1,1,".github/workflows/ml_retrain.yml",ci,,"",,github,0,0,0
f42cd4156fd15b8f321569fccdfe0a3e199b1f40,f42cd41,2025-11-11 02:08:34 +1000,matthewdau85,"chore(prisma): add model feedback migration",1,26,0,"shared/prisma/migrations/20251104103000_model_feedback/migration.sql",chore(db),chore(prisma),"subject-not-capitalized;scope-mismatch(scope=prisma vs dir=shared)",prisma,shared,0,0,0
f619720ffe1aeee1c6bbcce1fd7ad7e6bd8c94ac,f619720,2025-11-11 02:08:27 +1000,matthewdau85,"Handle dedupeId when checking existing discrepancy events",1,19,2,"worker/src/ingestion/risk-event-worker.ts",refactor,,"code-changes-look-like-refactor",,worker,0,0,0
2427e9849bea9fd4e848b81321655794ae8d8367,2427e98,2025-11-11 02:08:19 +1000,matthewdau85,"Add migration for model feedback table",1,31,0,"shared/prisma/migrations/20251104103000_model_feedback/migration.sql",chore(db),,"",,shared,0,0,0
f0bb792368662423528fda2e735d14eff8437643,f0bb792,2025-11-11 02:08:16 +1000,matthewdau85,"fix(ml-core): guard positive label metrics",1,47,3,"packages/ml-core/src/ml_core/models/baseline.py",refactor,fix(ml-core),"code-changes-look-like-refactor;subject-not-capitalized;fix-no-issue-ref;scope-mismatch(scope=ml-core vs dir=packages)",ml-core,packages,0,0,0
46ae52f9cf123914c5b8fb82843bc344d72975a3,46ae52f,2025-11-11 02:08:06 +1000,matthewdau85,"Fix ML service model directory resolution",1,1,1,"services/ml-service/app/main.py",refactor,,"code-changes-look-like-refactor",,services,0,0,0
80bd55c44ecca97a0d7b450742efbfdf19b75e8f,80bd55c,2025-11-11 02:08:00 +1000,matthewdau85,"Map discrepancy telemetry models to snake_case tables",1,34,31,"shared/prisma/schema.prisma",chore(db),,"possible-breaking-missing-marker",,shared,0,0,0
ec10396e8847738859dc9f979fed19687c34bd6f,ec10396,2025-11-11 02:07:53 +1000,matthewdau85,"Preserve feedback metadata on partial updates",1,14,6,"services/api-gateway/src/routes/ml-feedback.ts",refactor,,"code-changes-look-like-refactor",,services,0,0,0
687d498c14dce0f5a1711bb7358f5560a9729d2b,687d498,2025-11-11 02:07:47 +1000,matthewdau85,"fix: retry failed nats inference jobs",1,4,0,"services/inference/src/nats/worker.ts",refactor,fix,"code-changes-look-like-refactor;subject-not-capitalized;fix-no-issue-ref;scope-mismatch(scope= vs dir=services)",,services,0,0,0
62087168d73df4f79637f41b5c1e6778142ac6bc,6208716,2025-11-11 02:07:40 +1000,matthewdau85,"Track remaining designated balances per BAS cycle",1,21,12,"domain/bas/orchestrator.ts",refactor,,"code-changes-look-like-refactor",,domain,0,0,0
1ea5d0190afbbc63edd641ba632ce584856ed5f3,1ea5d01,2025-11-11 02:07:36 +1000,matthewdau85,"chore: guard ledger lint script when eslint missing",1,1,1,"packages/ledger/package.json",chore(deps),chore,"subject-not-capitalized;scope-mismatch(scope= vs dir=packages)",,packages,0,0,0
faef9d6a146fa80a990ed1c22dde07de90e56ee8,faef9d6,2025-11-11 02:07:32 +1000,matthewdau85,"Fix fastify type import extension",1,1,1,"services/api-gateway/src/types/fastify.d.ts",refactor,,"code-changes-look-like-refactor",,services,0,0,0
34fc4bfb276f47ed7ceada222eef73607dac5fd0,34fc4bf,2025-11-11 02:07:23 +1000,matthewdau85,"Handle JetStream stream already exists error",1,40,8,"services/api-gateway/src/lib/compliance-events.ts",refactor,,"code-changes-look-like-refactor",,services,0,0,0
487ba4797defe7789bcfd29aba0d5ecaf13acf57,487ba47,2025-11-11 02:07:16 +1000,matthewdau85,"fix: include workspace packages in ml inference build",1,3,1,"services/ml-inference/Dockerfile",chore,fix,"subject-not-capitalized;fix-no-issue-ref;scope-mismatch(scope= vs dir=services)",,services,0,0,0
85cf022f1cccfd8920f222175300068598db4903,85cf022,2025-11-11 02:07:12 +1000,matthewdau85,"Enforce finance roles on BAS and designated account actions",4,150,0,"services/api-gateway/src/routes/bas.ts;services/api-gateway/src/routes/designated-accounts.ts;services/api-gateway/test/bas.routes.spec.ts;services/api-gateway/test/designated-accounts.routes.spec.ts",feat+test,,"test-claimed-mismatch;needs-body(>=150 LOC);possible-breaking-missing-marker",,services,0,0,0
d8086ac96132f474f8c0c88f20800428118b5d22,d8086ac,2025-11-11 02:07:04 +1000,matthewdau85,"Restore Fastify typings and guard risk routes",2,31,2,"services/api-gateway/src/routes/risk.ts;services/api-gateway/src/types/fastify.d.ts",refactor,,"code-changes-look-like-refactor",,services,0,0,0
