"hash","short","current_subject","suggested_subject","flags"
"00201a01946d877fac2f9339c84b28be008694b3","00201a0","docs: align auth notes and control status with implementation","docs: Align auth notes and control status with implementation","subject-not-capitalized;scope-mismatch(scope= vs dir=docs)"
"0054db51df783ec14abecfeda3788fe7774b0132","0054db5","Enhance security scanning pipeline","ci(SECURITY.md): Enhance security scanning pipeline","docs-claimed-mismatch;needs-body(>=150 LOC)"
"0083040c1116bb36f58c46fcece5979d7e095d87","0083040","feat: add analytics telemetry pipeline","chore(domain): Add analytics telemetry pipeline","docs-claimed-mismatch;test-claimed-mismatch;deps-looks-like-chore;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope= vs dir=domain);possible-breaking-missing-marker"
"009cbea9021597de9134beaf9360e9d3b33bdde6","009cbea","test(api): run all *.spec.ts","chore(api): Run all *.spec.ts","deps-looks-like-chore;subject-not-capitalized;scope-mismatch(scope=api vs dir=services)"
"01213b0f235343068b3fcd60c8c8bab245cfcd67","01213b0","chore(ops): improve service operability and document logging/runbook","feat(ops): Improve service operability and document logging/runbook","docs-claimed-mismatch;code-additions-look-like-feat;subject-not-capitalized;scope-mismatch(scope=ops vs dir=docs);possible-breaking-missing-marker"
"0121aeb64b35d9ba0fcc3718f85ed5a506e9d74d","0121aeb","chore(api): lockfile + deps; test: add /ready probe spec","chore(api)(api): Lockfile + deps; test: add /ready probe spec","subject-not-capitalized;scope-mismatch(scope=api vs dir=services)"
"02fd87da38f7fcba531b2e542af475b6bc6d593d","02fd87d","migrations(shared): add BankLine idempotencyKey unique constraint","migrations(shared)(shared): Add BankLine idempotencyKey unique constrain","subject-not-capitalized"
"04fa2e1b0a20b7ce774d827531ef5978e5ed6e11","04fa2e1","feat(api-gateway): harden bank line and user queries","feat(api-gateway)(api-gateway): Harden bank line and user queries","test-claimed-mismatch;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope=api-gateway vs dir=services);possible-breaking-missing-marker"
"06797dc4a671d47848515c78b212967c4d72ae5e","06797dc","feat(auth): MFA (WebAuthn/TOTP) + end-to-end encryption envelopes","chore(auth): MFA (WebAuthn/TOTP) + end-to-end encryption envelopes","docs-claimed-mismatch;test-claimed-mismatch;deps-looks-like-chore;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope=auth vs dir=services);possible-breaking-missing-marker"
"06beba9ca0f92971fa7c747a4f748a4df48719e0","06beba9","feat(api-gateway): add readiness and metrics endpoints","feat(api-gateway)(api-gateway): Add readiness and metrics endpoints","test-claimed-mismatch;subject-not-capitalized;scope-mismatch(scope=api-gateway vs dir=services);possible-breaking-missing-marker"
"06d655080c4b1a6fae246d4041124716cb886aba","06d6550","chore(db): finalize schema, db init, and client wiring after auth integration","chore(db)(db): Finalize schema, db init, and client wiring after auth in","subject>72;subject-not-capitalized;scope-mismatch(scope=db vs dir=webapp);possible-breaking-missing-marker"
"08a2e9f703bb2ce5643b86e85f483ecd3fd65036","08a2e9f","fix: align manifest entry hash with final payload","refactor(webapp): Align manifest entry hash with final payload","code-changes-look-like-refactor;subject-not-capitalized;fix-no-issue-ref;scope-mismatch(scope= vs dir=webapp)"
"08af0c4ea9037c42aa5621d174cfc57319636812","08af0c4","feat(payg): update resolver for stage 3 tables","feat(payg)(payg): Update resolver for stage 3 tables","subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope=payg vs dir=tools)"
